timestamp,product,site,old_price,new_price
2026-04-30 08:39:10,Huggies Pure Wet Wipes 10x56buc,eMAG,59.0,49.99
=======
2026-04-30 15:00:28,Test Product,eMAG,100.0,80.0
2026-04-30 15:00:28,Test Product,eMAG,100.0,120.0
2026-04-30 15:00:28,Test Product,eMAG,100.0,120.0
2026-04-30 15:00:28,Test Product,eMAG,100.0,80.0
2026-04-30 15:00:28,Test Product,eMAG,100.0,80.0
2026-04-30 15:00:28,Test Product,eMAG,100.0,80.0
2026-04-30 15:00:28,Test Product,eMAG,,100.0
2026-04-30 15:00:28,Test Product,eMAG,,100.0
2026-04-30 15:00:28,Test Product,eMAG,100.0,80.0
2026-04-30 15:00:28,Test Product,eMAG,100.0,80.0
2026-04-30 15:00:28,Test Product,Altex,100.0,80.0
2026-04-30 15:00:28,Test Product,eMAG,100.0,80.0
2026-04-30 15:00:28,Test Product,eMAG,100.0,80.0
2026-04-30 15:00:28,Test Product,eMAG,100.0,80.0
2026-04-30 15:00:28,Test Product,eMAG,100.0,80.0
2026-04-30 15:00:28,Test Product,eMAG,100.0,80.0
2026-04-30 15:07:56,Test Product,eMAG,100.0,80.0
2026-04-30 15:07:56,Test Product,eMAG,100.0,120.0
2026-04-30 15:07:56,Test Product,eMAG,100.0,120.0
2026-04-30 15:07:56,Test Product,eMAG,100.0,80.0
2026-04-30 15:07:56,Test Product,eMAG,100.0,80.0
2026-04-30 15:07:56,Test Product,eMAG,100.0,80.0
2026-04-30 15:07:56,Test Product,eMAG,,100.0
2026-04-30 15:07:56,Test Product,eMAG,,100.0
2026-04-30 15:07:56,Test Product,eMAG,100.0,80.0
2026-04-30 15:07:56,Test Product,eMAG,100.0,80.0
2026-04-30 15:07:56,Test Product,Altex,100.0,80.0
2026-04-30 15:07:56,Test Product,eMAG,100.0,80.0
2026-04-30 15:07:56,Test Product,eMAG,100.0,80.0
2026-04-30 15:07:56,Test Product,eMAG,100.0,80.0
2026-04-30 15:07:56,Test Product,eMAG,100.0,80.0
2026-04-30 15:07:56,Test Product,eMAG,100.0,80.0
2026-04-30 15:18:01,Test Product,eMAG,100.0,80.0
2026-04-30 15:18:01,Test Product,eMAG,100.0,120.0
2026-04-30 15:18:01,Test Product,eMAG,100.0,120.0
2026-04-30 15:18:01,Test Product,eMAG,100.0,80.0
2026-04-30 15:18:01,Test Product,eMAG,100.0,80.0
2026-04-30 15:18:01,Test Product,eMAG,100.0,80.0
2026-04-30 15:18:01,Test Product,eMAG,,100.0
2026-04-30 15:18:01,Test Product,eMAG,,100.0
2026-04-30 15:18:01,Test Product,eMAG,100.0,80.0
2026-04-30 15:18:01,Test Product,eMAG,100.0,80.0
2026-04-30 15:18:01,Test Product,Altex,100.0,80.0
2026-04-30 15:18:01,Test Product,eMAG,100.0,80.0
2026-04-30 15:18:01,Test Product,eMAG,100.0,80.0
2026-04-30 15:18:01,Test Product,eMAG,100.0,80.0
2026-04-30 15:18:01,Test Product,eMAG,100.0,80.0
2026-04-30 15:18:01,Test Product,eMAG,100.0,80.0
2026-07-08 14:09:07,Test Product,eMAG,100.0,80.0
2026-07-08 14:09:07,Test Product,eMAG,100.0,120.0
2026-07-08 14:09:07,Test Product,eMAG,100.0,120.0
2026-07-08 14:09:07,Test Product,eMAG,100.0,80.0
2026-07-08 14:09:07,Test Product,eMAG,100.0,80.0
2026-07-08 14:09:07,Test Product,eMAG,100.0,80.0
2026-07-08 14:09:07,Test Product,eMAG,,100.0
2026-07-08 14:09:07,Test Product,eMAG,,100.0
2026-07-08 14:09:07,Test Product,eMAG,100.0,80.0
2026-07-08 14:09:07,Test Product,eMAG,100.0,80.0
2026-07-08 14:09:07,Test Product,Altex,100.0,80.0
2026-07-08 14:09:07,Test Product,eMAG,100.0,80.0
2026-07-08 14:09:07,Test Product,eMAG,100.0,80.0
2026-07-08 14:09:07,Test Product,eMAG,100.0,80.0
2026-07-08 14:09:07,Test Product,eMAG,100.0,80.0
2026-07-08 14:09:07,Test Product,eMAG,100.0,80.0
2026-07-08 14:10:50,Test Product,eMAG,100.0,80.0
2026-07-08 14:10:50,Test Product,eMAG,100.0,120.0
2026-07-08 14:10:50,Test Product,eMAG,100.0,120.0
2026-07-08 14:10:50,Test Product,eMAG,100.0,80.0
2026-07-08 14:10:50,Test Product,eMAG,100.0,80.0
2026-07-08 14:10:50,Test Product,eMAG,100.0,80.0
2026-07-08 14:10:50,Test Product,eMAG,,100.0
2026-07-08 14:10:50,Test Product,eMAG,,100.0
2026-07-08 14:10:50,Test Product,eMAG,100.0,80.0
2026-07-08 14:10:50,Test Product,eMAG,100.0,80.0
2026-07-08 14:10:50,Test Product,Altex,100.0,80.0
2026-07-08 14:10:50,Test Product,eMAG,100.0,80.0
2026-07-08 14:10:50,Test Product,eMAG,100.0,80.0
2026-07-08 14:10:50,Test Product,eMAG,100.0,80.0
2026-07-08 14:10:50,Test Product,eMAG,100.0,80.0
2026-07-08 14:10:50,Test Product,eMAG,100.0,80.0
2026-07-08 14:13:20,Pampers Active Baby Pants Size 5 164buc,eMAG,279.98,219.99
2026-07-08 14:13:21,Huggies Pure Wet Wipes 10x56buc,eMAG,49.99,52.99
2026-07-08 14:13:22,Braun ThermoScan 7 IRT6520B,eMAG,300.93,277.45
2026-07-08 14:16:40,Test Product,eMAG,100.0,80.0
2026-07-08 14:16:40,Test Product,eMAG,100.0,120.0
2026-07-08 14:16:40,Test Product,eMAG,100.0,120.0
2026-07-08 14:16:40,Test Product,eMAG,100.0,80.0
2026-07-08 14:16:40,Test Product,eMAG,100.0,80.0
2026-07-08 14:16:40,Test Product,eMAG,100.0,80.0
2026-07-08 14:16:40,Test Product,eMAG,,100.0
2026-07-08 14:16:40,Test Product,eMAG,,100.0
2026-07-08 14:16:40,Test Product,eMAG,100.0,80.0
2026-07-08 14:16:40,Test Product,eMAG,100.0,80.0
2026-07-08 14:16:40,Test Product,Altex,100.0,80.0
2026-07-08 14:16:40,Test Product,eMAG,100.0,80.0
2026-07-08 14:16:40,Test Product,eMAG,100.0,80.0
2026-07-08 14:16:40,Test Product,eMAG,100.0,80.0
2026-07-08 14:16:40,Test Product,eMAG,100.0,80.0
2026-07-08 14:16:40,Test Product,eMAG,100.0,80.0
2026-07-08 14:17:55,Test Product,eMAG,100.0,80.0
2026-07-08 14:17:55,Test Product,eMAG,100.0,120.0
2026-07-08 14:17:55,Test Product,eMAG,100.0,120.0
2026-07-08 14:17:55,Test Product,eMAG,100.0,80.0
2026-07-08 14:17:55,Test Product,eMAG,100.0,80.0
2026-07-08 14:17:55,Test Product,eMAG,100.0,80.0
